Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
695,Mike Woodson\woodsmi01,SG,27,SAC,81,51,29.8,6.3,13.2,.475,0.0,0.2,.154,6.3,13.1,.479,.476,3.0,3.6,.837,1.2,1.6,2.8,2.4,1.1,0.5,1.8,2.7,15.6
696,Orlando Woolridge\woolror01,SF,26,CHI,70,59,32.1,7.7,15.6,.495,0.1,0.3,.174,7.7,15.2,.502,.497,5.2,6.6,.788,2.1,2.9,5.0,3.0,0.7,0.7,2.5,2.7,20.7
697,James Worthy*\worthja01,SF,24,LAL,75,73,32.7,8.4,14.5,.579,0.0,0.2,.000,8.4,14.3,.586,.579,3.2,4.2,.771,1.8,3.3,5.2,2.7,1.1,1.0,2.0,2.6,20.0
698,Danny Young\youngda01,PG,23,SEA,82,29,23.2,2.8,5.5,.506,0.3,0.9,.324,2.5,4.6,.541,.532,1.1,1.3,.849,0.4,1.1,1.5,3.7,1.3,0.1,1.1,1.4,6.9
699,Michael Young\youngmi01,SF,25,PHI,2,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,Kareem Abdul-Jabbar*\abdulka01,C,39,LAL,78,78,31.3,7.2,12.7,.564,0.0,0.0,.333,7.2,12.7,.565,.564,3.1,4.4,.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5
701,Alvan Adams\adamsal01,C,32,PHO,68,40,24.9,4.6,9.1,.503,0.0,0.0,.000,4.6,9.1,.504,.503,2.0,2.5,.788,1.3,3.6,5.0,3.3,0.9,0.5,2.0,3.0,11.1
702,Michael Adams\adamsmi01,PG,24,WSB,63,0,20.7,2.5,6.2,.407,0.4,1.6,.275,2.1,4.6,.454,.443,1.7,2.0,.847,0.6,1.3,2.0,3.9,1.3,0.1,1.3,1.4,7.2
703,Rafael Addison\addisra01,SF,22,PHO,62,12,11.5,2.4,5.3,.441,0.3,0.8,.320,2.1,4.5,.463,.465,0.8,1.0,.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8
704,Mark Aguirre\aguirma01,SF,27,DAL,80,80,33.3,9.8,19.9,.495,0.7,1.9,.353,9.2,18.0,.510,.512,5.4,7.0,.770,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7
705,Danny Ainge\aingeda01,SG,27,BOS,71,66,35.2,5.8,11.9,.486,1.2,2.7,.443,4.6,9.2,.498,.536,2.1,2.3,.897,0.7,2.7,3.4,5.6,1.4,0.2,2.0,2.7,14.8
706,Mark Alarie\alarima01,C,23,DEN,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9
707,Richard Anderson\anderri01,C,26,HOU,51,0,6.1,1.2,2.7,.424,0.1,0.3,.250,1.1,2.4,.447,.439,0.4,0.6,.759,0.5,1.1,1.5,0.6,0.1,0.1,0.4,0.7,2.8
708,Ron Anderson\anderro01,SF,28,IND,63,0,11.4,2.2,4.7,.473,0.0,0.1,.000,2.2,4.6,.481,.473,1.3,1.7,.787,1.2,1.2,2.4,0.9,0.5,0.0,0.9,1.0,5.8
709,John Bagley\baglejo01,PG,26,CLE,72,67,30.3,4.3,10.2,.426,0.4,1.4,.301,3.9,8.7,.447,.447,1.6,1.9,.831,0.8,2.7,3.5,5.3,1.3,0.1,2.3,1.6,10.7
710,James Bailey\baileja01,C,29,NJN,34,2,15.9,3.3,7.0,.469,0.0,0.0,,3.3,7.0,.469,.469,1.7,2.4,.725,1.4,2.6,4.0,0.6,0.4,0.7,1.6,3.5,8.3
711,Thurl Bailey\baileth01,PF,25,UTA,81,2,26.6,5.7,12.8,.447,0.0,0.0,.000,5.7,12.8,.448,.447,2.3,2.9,.805,1.8,3.5,5.3,1.3,0.5,1.1,1.5,1.9,13.8
712,Greg Ballard\ballagr01,SF,32,GSW,82,7,19.3,3.0,6.9,.440,0.2,0.5,.375,2.8,6.4,.445,.453,0.8,1.1,.747,1.2,2.9,4.1,1.3,0.6,0.2,0.9,2.0,7.1
713,Gene Banks\banksge01,SF,27,CHI,63,39,28.9,4.0,7.3,.539,0.0,0.1,.000,4.0,7.3,.545,.539,1.8,2.3,.767,1.8,3.1,4.9,2.7,0.8,0.3,1.8,2.7,9.7
714,Charles Barkley*\barklch01,C,23,PHI,68,62,40.3,8.2,13.8,.594,0.3,1.5,.202,7.9,12.3,.643,.606,6.3,8.3,.761,5.7,8.9,14.6,4.9,1.8,1.5,4.7,3.7,23.0
715,John Battle\battljo01,SG,24,ATL,64,8,12.6,2.3,4.9,.457,0.0,0.2,.000,2.3,4.8,.472,.457,1.5,2.0,.738,0.3,0.7,0.9,1.9,0.5,0.1,0.9,1.2,6.0
716,William Bedford\bedfowi01,C,23,PHO,50,18,19.6,2.8,7.2,.397,0.0,0.0,.000,2.8,7.1,.398,.397,1.0,1.7,.581,1.6,3.3,4.9,1.1,0.4,0.7,1.7,2.5,6.7
717,Benoit Benjamin\benjabe01,C,22,LAC,72,61,31.0,4.4,9.9,.449,0.0,0.0,.000,4.4,9.9,.450,.449,2.6,3.7,.715,1.9,6.3,8.1,1.9,0.8,2.6,2.6,3.5,11.5
718,Kent Benson\bensoke01,C,32,UTA,73,2,12.3,1.9,4.3,.443,0.0,0.1,.286,1.9,4.2,.447,.446,0.6,0.8,.810,1.1,2.1,3.2,0.5,0.5,0.4,0.6,1.9,4.5
719,Walter Berry\berrywa01,SF,22,TOT,63,45,25.2,6.5,12.2,.531,0.0,0.0,.000,6.5,12.1,.533,.531,3.0,4.6,.649,2.2,2.7,4.9,1.7,0.6,0.6,2.4,3.1,15.9
720,Joe Binion\biniojo01,PF,25,POR,11,0,4.6,0.4,0.9,.400,0.0,0.0,,0.4,0.9,.400,.400,0.5,0.9,.600,0.7,0.9,1.6,0.1,0.2,0.2,0.3,0.5,1.3
721,Larry Bird*\birdla01,SF,30,BOS,74,73,40.6,10.6,20.2,.525,1.2,3.0,.400,9.4,17.2,.547,.555,5.6,6.1,.910,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1
722,Otis Birdsong\birdsot01,SG,31,NJN,7,6,18.1,2.7,6.0,.452,0.0,0.1,.000,2.7,5.9,.463,.452,0.9,1.3,.667,0.4,0.6,1.0,2.4,0.4,0.0,1.3,2.3,6.3
723,Uwe Blab\blabuw01,C,24,DAL,30,0,5.3,0.7,1.7,.392,0.0,0.0,,0.7,1.7,.392,.392,0.4,0.9,.464,0.4,0.8,1.2,0.4,0.1,0.3,0.5,1.1,1.8
724,Rolando Blackman\blackro01,SG,27,DAL,80,80,34.5,7.8,15.8,.495,0.1,0.2,.333,7.8,15.6,.497,.497,5.2,5.9,.884,1.2,2.3,3.5,3.3,0.8,0.3,2.2,1.8,21.0
725,Manute Bol\bolma01,C,24,WSB,82,12,18.9,1.3,2.8,.446,0.0,0.0,.000,1.3,2.8,.448,.446,0.5,0.8,.672,1.0,3.4,4.4,0.1,0.2,3.7,0.7,2.3,3.1
726,Sam Bowie\bowiesa01,C,25,POR,5,5,32.6,6.0,13.2,.455,0.0,0.0,,6.0,13.2,.455,.455,4.0,6.0,.667,2.8,3.8,6.6,1.8,0.2,2.0,3.0,3.8,16.0
727,Dudley Bradley\bradldu01,SG,29,MIL,68,2,13.2,1.1,3.1,.357,0.2,0.7,.260,0.9,2.4,.387,.387,0.7,0.9,.810,0.5,1.0,1.5,1.0,1.5,0.1,0.5,1.7,3.1
728,Adrian Branch\brancad01,SF,23,LAL,32,0,6.8,1.5,3.0,.500,0.0,0.1,.000,1.5,2.9,.511,.500,1.3,1.7,.778,0.7,0.9,1.7,0.5,0.5,0.1,0.8,1.2,4.3
729,Randy Breuer\breuera01,C,26,MIL,76,10,19.3,3.2,6.5,.485,0.0,0.0,,3.2,6.5,.485,.485,1.6,2.7,.584,1.7,2.9,4.6,0.6,0.7,0.8,1.3,3.0,7.9
730,Frank Brickowski\brickfr01,PF,27,TOT,44,0,11.1,1.4,2.8,.508,0.0,0.1,.000,1.4,2.7,.525,.508,1.1,1.6,.714,1.1,1.5,2.6,0.4,0.5,0.1,0.7,2.7,4.0
731,Junior Bridgeman\bridgju01,SF,33,MIL,34,4,12.3,2.3,5.0,.462,0.0,0.2,.167,2.3,4.9,.473,.465,0.5,0.6,.800,0.4,1.1,1.5,1.0,0.3,0.1,0.4,1.5,5.1
732,Mike Brittain\brittmi01,C,23,SAS,6,0,4.8,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.2,0.3,.500,0.3,0.3,0.7,0.3,0.2,0.0,0.3,0.5,1.5
733,Michael Brooks\brookmi01,SF,28,IND,10,0,14.8,1.3,3.7,.351,0.0,0.0,,1.3,3.7,.351,.351,0.7,1.0,.700,0.9,1.9,2.8,1.1,0.9,0.0,1.1,1.9,3.3
734,Mike Brown\brownmi01,C,23,CHI,62,3,13.2,1.7,3.2,.527,0.0,0.0,,1.7,3.2,.527,.527,0.7,1.2,.639,1.1,2.3,3.5,0.4,0.3,0.1,1.0,2.1,4.2
735,Tony Brown\brownto01,SG,26,NJN,77,67,30.4,4.6,10.5,.442,0.1,0.3,.250,4.6,10.3,.447,.445,2.0,2.7,.738,1.1,1.8,2.8,3.4,1.2,0.2,2.0,3.5,11.3
736,Michael Cage\cagemi01,PF,25,LAC,80,76,36.5,5.7,11.0,.521,0.0,0.0,.000,5.7,10.9,.522,.521,4.3,5.8,.730,4.4,7.1,11.5,1.6,1.2,0.8,2.1,2.8,15.7
737,Tony Campbell\campbto01,SF,24,DET,40,0,8.3,1.4,3.6,.393,0.0,0.1,.000,1.4,3.6,.401,.393,0.6,1.0,.615,0.5,0.9,1.5,0.5,0.3,0.0,0.9,1.0,3.5
738,Rick Carlisle\carliri01,SG,27,BOS,42,0,7.1,0.7,2.2,.326,0.1,0.4,.313,0.6,1.8,.329,.353,0.4,0.5,.750,0.2,0.5,0.7,0.8,0.2,0.0,0.6,0.7,1.9
739,Antoine Carr\carran01,PF,25,ATL,65,2,10.7,2.1,4.1,.506,0.0,0.0,.333,2.0,4.0,.508,.508,1.1,1.6,.709,0.9,1.5,2.4,0.5,0.2,0.7,0.6,2.2,5.3
740,Kenny Carr\carrke01,PF,31,POR,49,43,29.4,4.1,8.1,.504,0.0,0.0,.000,4.1,8.1,.506,.504,2.6,3.4,.746,2.7,7.5,10.2,1.7,0.6,0.3,2.1,3.2,10.8
741,Joe Barry Carroll\carrojo01,C,28,GSW,81,81,33.6,8.5,18.0,.472,0.0,0.0,,8.5,18.0,.472,.472,4.2,5.3,.787,2.1,5.1,7.3,2.6,1.1,1.5,2.8,3.1,21.2
742,Bill Cartwright\cartwbi01,C,29,NYK,58,50,34.3,5.8,10.9,.531,0.0,0.0,,5.8,10.9,.531,.531,6.0,7.6,.790,2.3,5.4,7.7,1.7,0.7,0.4,2.2,3.2,17.5
743,Terry Catledge\catlete01,PF,23,WSB,78,77,27.6,5.3,10.7,.495,0.0,0.1,.000,5.3,10.7,.497,.495,2.6,4.3,.594,3.2,4.0,7.2,0.7,0.6,0.2,1.9,2.5,13.1
744,Tom Chambers\chambto01,PF,27,SEA,82,82,36.8,8.0,17.6,.456,0.7,1.8,.372,7.4,15.9,.466,.475,6.5,7.7,.849,2.0,4.7,6.6,3.0,1.0,0.6,3.3,3.7,23.3
745,Maurice Cheeks*\cheekma01,PG,30,PHI,68,68,38.6,6.1,11.6,.527,0.1,0.3,.235,6.0,11.3,.533,.529,3.3,4.3,.777,0.7,2.5,3.2,7.9,2.6,0.2,2.5,1.6,15.6
746,Fred Cofield\cofiefr01,PG,25,CHI,5,0,5.4,0.4,2.2,.182,0.0,0.2,.000,0.4,2.0,.200,.182,0.0,0.0,,0.2,0.8,1.0,0.8,0.4,0.0,0.2,0.2,0.8
747,Ben Coleman\colembe01,C,25,NJN,68,7,15.1,2.7,4.6,.581,0.0,0.0,.000,2.7,4.6,.583,.581,1.3,1.8,.727,1.5,2.8,4.2,0.5,0.5,0.5,1.4,2.9,6.6
748,Don Collins\collido02,SF,28,MIL,6,0,9.5,1.7,4.7,.357,0.0,0.0,,1.7,4.7,.357,.357,0.8,1.2,.714,1.8,0.7,2.5,0.3,0.3,0.2,0.8,1.8,4.2
749,Steve Colter\coltest01,PG,24,TOT,70,31,18.9,2.4,5.7,.426,0.1,0.2,.235,2.4,5.4,.434,.431,1.2,1.5,.766,0.3,1.2,1.5,3.0,0.8,0.2,1.0,1.4,6.1
750,Darwin Cook\cookda01,SG,28,WSB,82,2,17.3,3.2,7.6,.426,0.0,0.3,.087,3.2,7.3,.439,.428,1.0,1.3,.796,0.6,1.2,1.8,1.8,1.2,0.2,1.2,1.7,7.5
751,Michael Cooper\coopemi01,SG,30,LAL,82,2,27.5,3.9,9.0,.438,1.1,2.8,.385,2.8,6.2,.461,.498,1.5,1.8,.851,0.7,2.4,3.1,4.5,1.0,0.5,1.2,2.4,10.5
752,Wayne Cooper\coopewa01,C,30,DEN,69,64,22.6,3.4,7.6,.448,0.0,0.0,.000,3.4,7.6,.451,.448,1.1,1.6,.725,2.3,4.5,6.9,1.0,0.2,1.5,1.1,3.7,8.0
753,Tyrone Corbin\corbity01,SF,24,TOT,63,15,18.6,2.5,6.0,.409,0.0,0.1,.250,2.5,6.0,.411,.411,1.4,2.0,.734,1.4,2.0,3.4,1.5,0.9,0.1,1.0,2.0,6.4
754,Dave Corzine\corzida01,C,30,CHI,82,39,27.9,3.6,7.5,.475,0.0,0.1,.000,3.6,7.5,.479,.475,1.2,1.6,.736,2.4,4.2,6.6,2.5,0.5,1.1,1.4,2.5,8.3
755,Pat Cummings\cummipa01,PF,30,NYK,49,11,21.6,3.5,7.8,.450,0.0,0.0,,3.5,7.8,.450,.450,1.6,2.2,.718,2.5,3.9,6.4,0.8,0.5,0.1,1.7,3.0,8.6
756,Terry Cummings\cummite01,PF,25,MIL,82,77,33.8,8.9,17.4,.511,0.0,0.0,.000,8.9,17.4,.512,.511,3.0,4.6,.662,2.6,5.9,8.5,2.8,1.6,1.0,2.1,3.6,20.8
757,Earl Cureton\curetea01,C,29,TOT,78,47,25.3,3.1,6.5,.476,0.0,0.0,.000,3.1,6.5,.478,.476,1.1,1.9,.539,2.7,3.1,5.8,1.6,0.4,0.7,1.0,2.4,7.3
758,Dell Curry\curryde01,SG,22,UTA,67,0,9.5,2.1,4.9,.426,0.3,0.9,.283,1.8,4.0,.459,.452,0.4,0.6,.789,0.4,0.7,1.2,0.9,0.4,0.1,0.7,1.3,4.9
759,Quintin Dailey\dailequ01,SG,26,LAC,49,5,18.9,4.1,10.0,.407,0.0,0.2,.100,4.1,9.8,.414,.408,2.4,3.2,.768,0.7,1.0,1.7,1.6,0.9,0.2,1.4,2.3,10.6
760,Adrian Dantley*\dantlad01,SF,31,DET,81,81,33.8,7.4,13.9,.534,0.0,0.1,.167,7.4,13.8,.536,.534,6.7,8.2,.812,1.3,2.8,4.1,2.0,0.8,0.1,2.2,2.4,21.5
761,Brad Daugherty\daughbr01,C,21,CLE,80,80,33.7,6.1,11.3,.538,0.0,0.0,,6.1,11.3,.538,.538,3.5,5.0,.696,1.9,6.2,8.1,3.8,0.6,0.8,3.1,3.1,15.7
762,Brad Davis\davisbr01,PG,31,DAL,82,6,19.3,2.4,5.3,.456,0.4,1.3,.302,2.0,4.0,.506,.493,1.8,2.1,.860,0.3,1.1,1.4,4.5,0.8,0.1,1.4,1.9,7.0
763,Walter Davis\daviswa03,SG,32,PHO,79,79,33.5,9.9,19.2,.514,0.3,1.0,.259,9.6,18.2,.529,.521,3.6,4.2,.862,1.1,1.9,3.1,4.6,1.2,0.1,2.9,2.3,23.6
764,Darryl Dawkins\dawkida01,C,30,NJN,6,2,17.7,3.3,5.3,.625,0.0,0.0,,3.3,5.3,.625,.625,2.8,4.0,.708,1.5,1.7,3.2,0.3,0.3,0.5,2.5,4.2,9.5
765,Johnny Dawkins\dawkijo01,PG,23,SAS,81,14,20.8,4.1,9.4,.437,0.2,0.6,.298,4.0,8.9,.446,.446,1.9,2.4,.801,0.7,1.4,2.1,3.6,0.8,0.0,1.5,1.5,10.3
766,Darren Daye\dayeda01,SF,26,TOT,62,2,11.8,1.6,3.3,.500,0.0,0.0,,1.6,3.3,.500,.500,0.5,1.0,.523,0.6,1.4,2.0,1.2,0.4,0.1,0.9,1.6,3.8
767,James Donaldson\donalja01,C,29,DAL,82,82,36.9,3.8,6.5,.586,0.0,0.0,,3.8,6.5,.586,.586,3.3,4.0,.812,3.6,8.3,11.9,0.8,0.6,1.7,1.3,2.3,10.8
768,Bruce Douglas\douglbr01,SG,22,SAC,8,1,12.3,0.9,3.0,.292,0.0,0.1,.000,0.9,2.9,.304,.292,0.0,0.5,.000,0.6,1.1,1.8,2.1,1.1,0.0,1.1,1.1,1.8
769,Greg Dreiling\dreilgr01,C,24,IND,24,0,5.3,0.7,1.5,.432,0.0,0.0,,0.7,1.5,.432,.432,0.4,0.5,.833,0.5,1.3,1.8,0.3,0.1,0.1,0.3,1.8,1.8
770,Larry Drew\drewla01,PG,28,LAC,60,22,26.1,4.9,11.4,.432,0.2,1.2,.167,4.7,10.2,.463,.441,2.3,2.8,.837,0.4,1.3,1.7,5.4,1.0,0.0,2.5,1.8,12.4
771,Clyde Drexler*\drexlcl01,SG,24,POR,82,82,38.0,8.6,17.2,.502,0.1,0.6,.234,8.5,16.6,.511,.506,4.4,5.7,.760,2.8,3.5,6.3,6.9,2.5,0.9,3.1,3.4,21.7
772,Kevin Duckworth\duckwke01,C,22,TOT,65,1,13.5,2.0,4.2,.476,0.0,0.0,.000,2.0,4.2,.478,.476,1.4,2.1,.687,1.2,2.3,3.4,0.4,0.3,0.3,1.2,3.0,5.4
773,Joe Dumars*\dumarjo01,SG,23,DET,79,75,30.9,4.7,9.5,.493,0.1,0.3,.409,4.6,9.2,.495,.499,2.3,3.1,.748,0.6,1.5,2.1,4.5,1.1,0.1,2.2,2.5,11.8
774,T.R. Dunn\dunntr01,SG,31,DEN,81,53,23.9,1.5,3.4,.428,0.0,0.0,.000,1.5,3.4,.431,.428,0.4,0.7,.655,1.1,2.1,3.3,1.8,1.2,0.3,0.4,2.0,3.4
775,Mark Eaton\eatonma01,C,30,UTA,79,79,31.7,3.0,7.4,.400,0.0,0.0,,3.0,7.4,.400,.400,1.8,2.7,.657,2.7,6.2,8.8,1.3,0.5,4.1,1.8,3.5,7.7
776,Jerry Eaves\eavesje01,PG,27,SAC,3,0,8.7,0.3,2.7,.125,0.0,0.0,,0.3,2.7,.125,.125,0.7,0.7,1000,0.3,0.0,0.3,0.0,0.3,0.0,0.7,2.0,1.3
777,Franklin Edwards\edwarfr01,PG,27,SAC,8,0,15.3,1.1,4.0,.281,0.0,0.5,.000,1.1,3.5,.321,.281,1.3,1.8,.714,0.3,1.0,1.3,3.6,0.6,0.0,2.1,0.9,3.5
778,James Edwards\edwarja01,C,31,PHO,14,9,21.7,4.1,7.9,.518,0.0,0.0,,4.1,7.9,.518,.518,3.9,5.0,.771,1.4,2.9,4.3,1.4,0.4,0.5,1.1,3.0,12.0
779,Craig Ehlo\ehlocr01,SG,25,CLE,44,15,20.2,2.3,5.4,.414,0.1,0.7,.172,2.1,4.8,.448,.425,1.6,2.3,.707,1.3,2.4,3.7,2.1,0.9,0.7,1.4,1.8,6.2
780,Dale Ellis\ellisda01,SG,26,SEA,82,76,37.5,9.6,18.5,.516,1.0,2.9,.358,8.5,15.6,.546,.545,4.7,6.0,.787,2.3,3.2,5.5,2.9,1.3,0.4,2.9,3.3,24.9
781,Chris Engler\englech01,C,27,TOT,30,0,6.5,0.8,1.7,.451,0.0,0.0,,0.8,1.7,.451,.451,0.4,0.5,.750,0.8,1.1,1.9,0.3,0.2,0.4,0.4,1.1,1.9
782,Alex English*\englial01,SF,33,DEN,82,82,37.6,11.8,23.4,.503,0.0,0.2,.267,11.7,23.2,.504,.504,5.0,5.9,.844,1.8,2.4,4.2,5.1,0.9,0.3,2.6,2.6,28.6
783,Julius Erving*\ervinju01,SF,36,PHI,60,60,32.0,6.7,14.2,.471,0.2,0.9,.264,6.4,13.3,.484,.479,3.2,3.9,.813,1.9,2.5,4.4,3.2,1.3,1.6,2.6,2.3,16.8
784,Mike Evans\evansmi01,SG,31,DEN,81,4,19.3,4.1,9.0,.458,0.7,2.1,.314,3.5,6.9,.502,.495,1.2,1.5,.780,0.4,1.1,1.6,2.3,1.0,0.1,1.3,1.8,10.1
785,Patrick Ewing*\ewingpa01,PF,24,NYK,63,63,35.0,8.4,16.7,.503,0.0,0.1,.000,8.4,16.6,.507,.503,4.7,6.6,.713,2.5,6.3,8.8,1.7,1.4,2.3,3.6,3.9,21.5
786,Dave Feitl\feitlda01,C,24,HOU,62,1,8.0,1.4,3.3,.436,0.0,0.0,.000,1.4,3.2,.438,.436,0.9,1.1,.746,0.6,1.3,1.9,0.4,0.1,0.1,0.6,1.3,3.7
787,Kenny Fields\fieldke01,SF,24,TOT,48,17,18.4,3.3,7.3,.452,0.1,0.3,.250,3.3,7.1,.459,.456,1.5,2.0,.777,1.3,1.8,3.1,1.3,0.7,0.2,1.1,2.6,8.2
788,Vern Fleming\flemive01,PG,24,IND,82,82,31.1,4.5,8.9,.509,0.0,0.1,.200,4.5,8.7,.513,.510,2.9,3.7,.788,1.3,2.7,4.1,5.8,1.3,0.2,2.0,2.7,12.0
789,Sleepy Floyd\floydsl01,PG,26,GSW,82,82,37.4,6.1,12.6,.488,0.9,2.3,.384,5.2,10.2,.512,.524,5.6,6.5,.860,0.7,2.6,3.3,10.3,1.8,0.2,3.4,2.4,18.8
790,World B. Free\freewo01,SG,33,PHI,20,2,14.3,2.0,6.2,.317,0.1,0.5,.222,1.9,5.7,.325,.325,1.8,2.4,.766,0.3,0.7,1.0,1.5,0.3,0.2,0.9,1.3,5.8
791,Kenny Gattison\gattike01,PF,22,PHO,77,14,14.3,1.9,4.0,.476,0.0,0.0,.000,1.9,4.0,.481,.476,1.4,2.2,.632,1.1,2.4,3.5,0.5,0.3,0.4,1.1,2.3,5.2
792,Artis Gilmore*\gilmoar01,C,37,SAS,82,74,29.3,4.2,7.1,.597,0.0,0.0,,4.2,7.1,.597,.597,3.0,4.3,.680,2.3,4.8,7.1,1.8,0.5,1.2,2.2,2.9,11.4
793,Mike Glenn\glennmi01,SG,31,MIL,4,0,8.5,1.3,3.3,.385,0.0,0.0,,1.3,3.3,.385,.385,1.3,1.8,.714,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.8,3.8
794,Mike Gminski\gminsmi01,C,27,NJN,72,66,31.6,6.0,13.2,.457,0.0,0.0,,6.0,13.2,.457,.457,4.3,5.1,.846,2.7,6.1,8.8,1.4,0.7,1.0,1.8,2.2,16.4
795,Grant Gondrezick\gondrgr01,SG,24,PHO,64,1,13.1,2.1,4.7,.450,0.1,0.3,.235,2.0,4.4,.463,.457,1.2,1.7,.701,0.7,1.0,1.7,1.3,0.4,0.1,0.9,1.4,5.5
796,Lancaster Gordon\gordola01,SG,24,LAC,70,4,16.1,3.2,7.8,.406,0.2,0.7,.292,3.0,7.1,.416,.418,1.0,1.4,.737,0.9,0.9,1.8,2.0,0.9,0.2,1.5,1.5,7.5
797,Stewart Granger\grangst01,PG,25,NYK,15,0,11.1,1.3,3.6,.370,0.0,0.2,.000,1.3,3.4,.392,.370,0.6,0.7,.818,0.4,0.7,1.1,1.8,0.5,0.1,1.5,1.1,3.3
798,Stuart Gray\grayst01,C,23,IND,55,1,8.3,0.7,1.8,.406,0.0,0.0,,0.7,1.8,.406,.406,0.5,0.7,.718,0.7,1.6,2.3,0.5,0.2,0.5,0.7,1.7,2.0
799,A.C. Green\greenac01,PF,23,LAL,79,72,28.4,4.0,7.4,.538,0.0,0.1,.000,4.0,7.4,.543,.538,2.8,3.6,.780,2.7,5.1,7.8,1.1,0.9,1.0,1.3,2.2,10.8
800,Kenny Green\greenke02,SF,22,PHI,19,0,9.1,1.3,3.7,.357,0.0,0.0,,1.3,3.7,.357,.357,0.7,1.0,.737,0.3,1.2,1.5,0.4,0.2,0.1,0.8,0.4,3.4
801,Rickey Green\greenri01,PG,32,UTA,81,80,25.8,3.7,8.0,.467,0.1,0.2,.368,3.6,7.7,.470,.473,2.1,2.6,.827,0.5,1.5,2.0,6.7,1.4,0.0,1.6,1.3,9.6
802,Sidney Green\greensi02,PF,26,DET,80,69,22.4,3.2,6.8,.472,0.0,0.0,.000,3.2,6.8,.474,.472,1.5,2.2,.672,2.5,5.7,8.2,0.8,0.5,0.6,1.6,2.5,7.9
803,Dave Greenwood\greenda01,PF,29,SAS,79,78,32.7,4.3,8.3,.513,0.0,0.1,.500,4.2,8.2,.513,.515,3.1,3.9,.785,3.2,6.7,9.9,3.0,0.9,0.6,2.0,3.1,11.6
804,Darrell Griffith\griffda01,SG,28,UTA,76,10,24.3,6.1,13.7,.446,0.9,2.6,.335,5.2,11.0,.473,.478,2.0,2.8,.703,1.1,1.9,3.0,1.7,1.3,0.4,1.8,2.2,15.0
805,Bob Hansen\hansebo01,SG,26,UTA,72,72,20.2,3.8,8.3,.453,0.2,0.6,.356,3.6,7.7,.460,.466,1.9,2.5,.760,1.2,1.7,2.8,1.4,0.6,0.1,1.1,2.0,9.7
806,Bill Hanzlik\hanzlbi01,PF,29,DEN,73,10,27.3,4.2,10.2,.412,0.3,1.1,.275,3.9,9.1,.428,.426,4.3,5.5,.786,1.1,2.4,3.5,3.8,1.2,0.4,1.8,3.4,13.0
807,Derek Harper\harpede01,PG,25,DAL,77,76,33.2,6.5,12.9,.501,1.0,2.8,.358,5.5,10.1,.539,.539,2.1,3.0,.684,0.7,1.9,2.6,7.9,2.2,0.3,1.8,2.5,16.0
808,Ron Harper\harpero01,SG,23,CLE,82,82,37.4,9.0,19.7,.455,0.2,1.1,.213,8.7,18.5,.470,.461,4.7,6.9,.684,2.1,2.7,4.8,4.8,2.5,1.0,4.2,3.0,22.9
809,Steve Harris\harrist01,SG,23,HOU,74,3,15.9,3.4,8.1,.419,0.0,0.1,.000,3.4,8.0,.425,.419,1.5,1.8,.854,1.0,1.3,2.3,1.4,0.5,0.2,1.0,1.5,8.3
810,Scott Hastings\hastisc01,PF,26,ATL,40,0,6.4,0.6,1.7,.338,0.1,0.3,.167,0.5,1.4,.375,.353,0.6,0.7,.793,0.4,1.4,1.8,0.3,0.3,0.2,0.3,0.9,1.8
811,Cedric Henderson\hendece01,PF,21,TOT,8,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.4,0.4,1000,0.4,0.6,1.0,0.0,0.0,0.0,0.5,0.3,1.4
812,Gerald Henderson\hendege01,PG,31,TOT,74,59,27.6,4.0,9.1,.442,0.3,1.0,.247,3.8,8.1,.467,.456,2.6,3.1,.826,0.7,1.7,2.4,6.4,1.4,0.1,2.3,2.8,10.9
813,Jerome Henderson\hendeje01,PF,27,MIL,6,0,6.0,0.7,2.2,.308,0.0,0.0,,0.7,2.2,.308,.308,0.7,0.7,1000,0.3,0.8,1.2,0.0,0.2,0.2,1.0,2.0,2.0
814,Kevin Henderson\hendeke01,PG,22,GSW,5,0,9.0,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,0.4,0.4,1000,0.2,0.4,0.6,2.2,0.2,0.0,0.8,1.8,1.6
